product_id,key,value,condition
15403317395805,title_tag,"Cold Chisel Tool - AMTECH 12' X 3/4"" AMG2800 for Metalwork",15403317395805title_tag
15403317395805,description_tag,"Shop the durable AMTECH 12' X 3/4"" Cold Chisel Tool AMG2800. Perfect for metalwork, this tool offers precision & strength. Order now!",15403317395805description_tag
15401696461149,title_tag,White Paper Plates 9 Inch - ROYAL MARKET Pack of 30 | PP930,15401696461149title_tag
15401696461149,description_tag,"Shop ROYAL MARKET White Paper Plates 9 Inch Pack of 30's for your next party or event. Durable, eco-friendly, and perfect for all occasions.",15401696461149description_tag
15230452760925,title_tag,Girl Baby Shower Banner - Unique Foil Party Decoration 12FT,15230452760925title_tag
15230452760925,description_tag,Celebrate the arrival of a little princess with our Girl Baby Shower Banner. Perfect for decorating your special event with a touch of sparkle.,15230452760925description_tag
15230370054493,title_tag,Gabby's Dollhouse Stickers Activity Book - Fun for Kids 3541/GDSB,15230370054493title_tag
15230370054493,description_tag,Dive into the world of Gabby with the Gabby's Dollhouse Stickers Activity Book. Perfect for creative fun and sticker enthusiasts!,15230370054493description_tag
15230370316637,title_tag,Gabby's Dollhouse Art Pad with Stickers - Creative Fun for Kids,15230370316637title_tag
15230370316637,description_tag,Unleash your child's creativity with Gabby's Dollhouse Art Pad with Stickers. Perfect for young artists who love Gabby's magical world!,15230370316637description_tag
15227296252253,title_tag,Poly Mailer Bags - Assorted Sizes Pack of 6 | C265,15227296252253title_tag
15227296252253,description_tag,"Shop durable and versatile Poly Mailer Bags in assorted sizes, perfect for shipping a variety of items. Secure seal, water-resistant material. Order now!",15227296252253description_tag
15404168315229,title_tag,"O'Keeffe's Gift Pack - Working Hands, Healthy Feet & Lip Repair",15404168315229title_tag
15404168315229,description_tag,"Discover the perfect skincare solution with O'Keeffe's Gift Pack. Nourish your skin with our Working Hands, Healthy Feet, and Lip Repair set.",15404168315229description_tag
15404168184157,title_tag,O'Keeffe's Working Hands Cream 193g - Soothe Dry Skin | 7044101,15404168184157title_tag
15404168184157,description_tag,"Relieve dry, cracked hands with O'Keeffe's Working Hands Value Size Jar. Intensive hydration for hard-working hands. Get yours now!",15404168184157description_tag
15403320312157,title_tag,Aluminium Plasterer's Hawk AMG1450 - Professional Plastering Tool,15403320312157title_tag
15403320312157,description_tag,Get the durable AMTECH Aluminium Plasterer's Hawk AMG1450 for your construction needs. Lightweight design for easy handling and efficient plastering.,15403320312157description_tag
15227332395357,title_tag,Paint by Numbers Kit for All Ages - Includes Everything You Need,15227332395357title_tag
15227332395357,description_tag,"Unleash your creativity with our Paint by Numbers Kit. Perfect for beginners and art lovers. Includes 2 canvases, 7 paints, and a brush.",15227332395357description_tag
15404256788829,title_tag,Children's Magic Set - Assorted Designs | T79005,15404256788829title_tag
15404256788829,description_tag,"Discover the wonders of magic with our Children's Magic Set. Perfect for young magicians, this set features assorted designs to amaze and inspire.",15404256788829description_tag
15371415978333,title_tag,"Intex Pool Cover 9'10"" x 6'6"" - TY6158 28038 Protection",15371415978333title_tag
15371415978333,description_tag,"Keep your pool clean & protected with the Intex Pool Cover 9'10"" x 6'6"". Durable, easy to use, and perfect for your summer setup.",15371415978333description_tag
15230373036381,title_tag,Gabby's Dollhouse Coloring Activity Book - 3702/GDCC,15230373036381title_tag
15230373036381,description_tag,Unleash creativity with Gabby's Dollhouse Coloring Activity Book. Perfect for young artists to explore colors and have fun with Gabby.,15230373036381description_tag
15230588453213,title_tag,3 Ply Napkins 33cm - Elegant & Durable for Any Occasion | PPS99302,15230588453213title_tag
15230588453213,description_tag,"Discover the perfect blend of style and functionality with our 3 Ply Napkins, ideal for cafes, events, and home use. Shop PPS99302 now for premium quality.",15230588453213description_tag
15230453449053,title_tag,Boy Baby Shower Banner - Celebrate with 12ft Foil Party Decor,15230453449053title_tag
15230453449053,description_tag,Make your baby shower unforgettable with our 12ft Boy Baby Shower Banner. Perfect for welcoming a little boy into the world!,15230453449053description_tag
15230409933149,title_tag,Girl Baby Shower Balloon - Unique Party Foil Decoration,15230409933149title_tag
15230409933149,description_tag,Celebrate the arrival of a little princess with our Girl Baby Shower Balloon. Perfect for party decor and creating a festive atmosphere.,15230409933149description_tag
