id,sku,price
5.68E+13,KD28982,0.86
5.68E+13,KD31741,2.99
5.68E+13,KD31751,1.05
5.68E+13,KD31748,1.49
5.68E+13,KD31749,1.49
5.68E+13,KD03896,0.75
5.68E+13,KD03645,0.26
5.68E+13,KD03646,0.26
5.68E+13,KD03616,0.79
5.68E+13,KD03579,0.85
5.68E+13,KD32693,0.85
5.68E+13,KTY5070,0.75
5.68E+13,T1224,0.69
5.68E+13,T5680,0.7
5.68E+13,HTI0002116,1.32
5.68E+13,TY3659,0.69
5.68E+13,T4018,1.05
5.68E+13,T6067,0.89
5.68E+13,T4019,0.49
5.68E+13,T5113,0.82
5.68E+13,T4052,0.69
5.68E+13,T4049,0.69
5.68E+13,KD11010,1.39
5.68E+13,T1084,0.69
5.68E+13,T6179,2.32
5.68E+13,TA5786,0.59
5.68E+13,KD00830,0.79
5.68E+13,TA5787,0.62
5.68E+13,KD12748,0.52
5.68E+13,T5455,0.79
5.68E+13,KD17161,0.73
5.68E+13,TA5758,0.81
5.68E+13,KD11009,1.39
5.68E+13,TA5788,0.63
5.68E+13,TA5752,0.55
5.68E+13,6822,0.72
5.68E+13,KD13161,6.99
5.68E+13,KD12735,0.52
5.68E+13,KD13897,0.5
5.68E+13,KD12705,0.52
5.68E+13,KD13092,0.49
5.68E+13,KD12736,0.49
5.68E+13,KD12754,0.49
5.68E+13,KD13849,2.42
5.68E+13,4251,0.65
5.68E+13,T6225,0.69
5.68E+13,802896,0.69
5.68E+13,TA5783,0.59
5.68E+13,KD00773,2.08
5.68E+13,P2133,0.55
5.68E+13,KD12699,3.36
5.68E+13,KD12737,0.49
5.68E+13,TA9622,0.33
5.68E+13,T5024,0.95
5.68E+13,T5023,0.57
5.68E+13,T5125,1.99
5.68E+13,KD23165,3.99
5.68E+13,KD24598,6.99
5.68E+13,KD01215,5.79
5.68E+13,T5933,0.55
5.68E+13,KD00746,1.99
5.68E+13,5148,0.69
5.68E+13,T5126,1.09
5.68E+13,8383GOLD,2.03
5.68E+13,8387S,2.03
5.68E+13,KD00810,0.39
5.68E+13,TY660,4.15
5.68E+13,KD14088,4.99
5.68E+13,KD29486,3.29
5.68E+13,KD13781,0.5
5.68E+13,KD00726,0.7
5.68E+13,K9554,0.75
5.68E+13,KD31668,1.75
5.68E+13,KD22704,0.69
5.68E+13,6838,0.79
5.68E+13,KD12739,0.78
5.68E+13,T5922,1.82
5.68E+13,TA5785,0.7
5.68E+13,T5121,0.69
5.68E+13,KD20361,0.79
5.68E+13,T5109,0.72
